"","ref_id","iso2","reviewed_by","reviewed_date","country_role"
"296","ISI000401742900001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"297","ISI000402217900013","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"298","ISI000397691200062","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"299","ISI000398543900012","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"300","ISI000399810100018","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"301","ISI000392206100017","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"302","ISI000086108200005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"303","ISI000433877100007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"304","ISI000394688200152","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"305","ISI000413807700002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"306","ISI000410663000006","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"307","ISI000406131200007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"308","ISI000395098100003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"309","ISI000416312100017","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"310","ISI000389181600007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"311","ISI000388248600037","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"312","ISI000392313300006","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"313","ISI000372066500018","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"314","ISI000398192400010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"315","ISI000385697200018","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"316","ISI000382748800002","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"317","ISI000384981500001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"318","ISI000381271600010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"319","ISI000380870800001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"320","ISI000384273000006","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"321","ISI000393199400011","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"322","ISI000381431100007","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"323","ISI000381528700017","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"324","ISI000377055800025","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"325","ISI000415608200080","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"326","ISI000373700300016","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"327","ISI000374768800005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"328","ISI000374768800010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"329","ISI000287964900004","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"330","ISI000393199400016","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"331","ISI000387655500009","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"332","ISI000387256400015","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"333","ISI000376388400001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"334","ISI000370058800010","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"335","ISI000370002700003","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"336","ISI000382302400005","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"337","ISI000393199400021","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"338","ISI000367058900001","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"339","ISI000368186400023","AU","Rsaurio",2020-10-29 10:05:59,"In text"
"340","ISI000368186400024","AU","Rsaurio",2020-10-29 10:05:59,"In text"
